"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2010","125.75","120.20","126.20","120.19","2.72B","6.13%"
"11/01/2010","118.49","119.07","122.95","117.59","3.98B","0.00%"
"10/01/2010","118.49","114.99","119.76","113.18","3.77B","3.82%"
"09/01/2010","114.13","106.73","115.79","106.66","4.05B","8.38%"
"08/01/2010","105.31","111.99","113.18","104.29","4.54B","-4.50%"
"07/01/2010","110.27","103.15","112.29","101.13","4.72B","6.83%"
"06/01/2010","103.22","108.35","113.20","102.88","5.71B","-5.62%"
"05/01/2010","109.37","119.38","120.68","104.38","7.41B","-7.95%"
"04/01/2010","118.81","117.80","122.12","117.10","4.01B","1.55%"
"03/01/2010","117.00","111.20","118.17","111.17","3.90B","5.65%"
"02/01/2010","110.74","108.15","111.58","104.58","4.45B","3.12%"
"01/01/2010","107.39","112.37","115.14","107.22","3.71B","-3.63%"
"12/01/2009","111.44","110.92","113.03","105.48","2.88B","1.36%"
"11/01/2009","109.94","104.13","111.74","103.08","3.43B","6.16%"
"10/01/2009","103.56","105.34","110.31","101.99","4.48B","-1.92%"
"09/01/2009","105.59","101.95","108.06","99.57","3.78B","3.05%"
"08/01/2009","102.46","99.85","104.35","98.11","3.96B","3.69%"
"07/01/2009","98.81","92.34","99.83","87.00","4.30B","7.46%"
"06/01/2009","91.95","93.67","96.11","87.53","5.05B","-0.63%"
"05/01/2009","92.53","87.44","93.70","86.72","5.20B","5.85%"
"04/01/2009","87.42","78.53","89.02","78.33","6.21B","9.93%"
"03/01/2009","79.52","72.52","83.30","67.10","8.81B","7.56%"
"02/01/2009","73.93","81.57","87.74","73.81","7.28B","-10.74%"
"01/01/2009","82.83","90.44","94.55","80.05","6.88B","-8.21%"
"12/01/2008","90.24","87.51","92.43","81.86","6.93B","0.17%"
"11/01/2008","90.09","96.78","100.86","74.34","8.77B","-6.96%"
"10/01/2008","96.83","115.27","116.69","83.58","11.89B","-16.52%"
"09/01/2008","115.99","130.03","130.71","110.53","8.11B","-9.94%"
"08/01/2008","128.79","127.12","131.51","124.76","4.34B","1.55%"
"07/01/2008","126.83","126.52","129.16","120.02","7.16B","-0.90%"
"06/01/2008","127.98","139.83","140.89","127.03","5.41B","-8.81%"
"05/01/2008","140.35","138.39","144.30","137.52","3.65B","1.51%"
"04/01/2008","138.26","133.71","140.59","132.33","4.01B","4.77%"
"03/01/2008","131.97","133.14","135.81","126.07","5.47B","-1.38%"
"02/01/2008","133.82","137.94","139.61","131.73","4.15B","-2.58%"
"01/01/2008","137.37","146.53","146.99","126.00","6.11B","-6.05%"
"12/01/2007","146.21","148.19","152.89","143.96","3.29B","-1.65%"
"11/01/2007","148.66","153.29","153.41","140.66","5.47B","-3.87%"
"10/01/2007","154.65","152.60","157.52","148.00","3.85B","1.36%"
"09/01/2007","152.58","147.45","154.39","144.33","2.97B","3.38%"
"08/01/2007","147.59","145.18","150.59","137.00","6.24B","1.28%"
"07/01/2007","145.72","150.87","156.00","145.04","3.99B","-3.13%"
"06/01/2007","150.43","153.88","154.40","148.06","3.51B","-1.88%"
"05/01/2007","153.32","148.42","153.89","147.67","2.52B","3.39%"
"04/01/2007","148.29","142.16","149.80","140.89","1.80B","4.43%"
"03/01/2007","142.00","139.34","143.81","136.75","2.92B","0.76%"
"02/01/2007","140.93","144.15","146.42","139.00","1.50B","-1.96%"
"01/01/2007","143.75","142.25","144.13","140.25","1.35B","1.50%"
"12/01/2006","141.62","140.53","143.24","138.97","1.21B","0.78%"
"11/01/2006","140.53","138.22","141.16","135.62","1.50B","1.99%"
"10/01/2006","137.79","133.54","139.00","132.34","1.45B","3.15%"
"09/01/2006","133.58","131.14","133.99","129.35","1.36B","2.25%"
"08/01/2006","130.64","127.34","131.04","126.28","1.42B","2.18%"
"07/01/2006","127.85","127.43","128.14","122.39","1.69B","0.49%"
