"date","open","high","low","close","volume","pct_chg"
2000-01-02,148.25,148.25,137.25,145.75,42730000,-0.0077
2000-01-09,146.25,147.47,142.88,146.97,32750000,0.0084
2000-01-16,145.34,147,143.81,144.44,24690000,-0.0172
2000-01-23,145.66,145.84,135.53,135.88,45840000,-0.0593
2000-01-30,135.81,144,135,142.59,38320000,0.0494
2000-02-06,142.56,144.56,138.03,138.69,35830000,-0.0274
2000-02-13,139.78,141.22,134.62,135.31,45450000,-0.0244
2000-02-20,135.19,137.47,133.09,133.33,56470000,-0.0146
2000-02-27,133.38,141.72,132.72,141.12,48880000,0.0584
2000-03-05,140.81,142,135.03,140.12,57260000,-0.0071
2000-03-12,136.69,148,136.06,146.94,64980000,0.0487
2000-03-19,146.88,155.75,144.5,153.56,57490000,0.0451
2000-03-26,153.38,153.78,147.12,150.38,40620000,-0.0207
2000-04-02,150.12,153,141.39,151.44,50200000,0.007
2000-04-09,151.75,153.11,133.5,136,71240000,-0.102
2000-04-16,135.19,145.12,134.69,143.81,50080000,0.0574
2000-04-23,141.5,148.75,140.5,145.09,59040000,0.0089
2000-04-30,146.56,148.48,139.78,143.53,43200000,-0.0108
2000-05-07,142.75,143.47,137.75,142.81,34030000,-0.005
2000-05-14,142.75,147.72,140.41,141.12,29380000,-0.0118
2000-05-21,141.25,141.81,136.5,138,4.3e+07,-0.0221
2000-05-28,140,149.09,139.47,147.84,29340000,0.0713
2000-06-04,147.47,148.22,145.62,146.59,25580000,-0.0085
2000-06-11,146.97,148.88,144.62,146.59,27910000,0
2000-06-18,146.47,149.16,143.88,144.38,27060000,-0.0151
2000-06-25,145.38,146.98,143.52,145.28,28470000,0.0062
2000-07-02,145.44,148.78,144.22,148.09,13180000,0.0193
2000-07-09,147.88,151.25,147.16,151.25,24830000,0.0213
2000-07-16,150.98,151.98,147.69,147.69,27170000,-0.0235
2000-07-23,148.12,148.86,141.52,142.09,36330000,-0.0379
2000-07-30,142.94,146.72,142.06,146.38,24950000,0.0302
2000-08-06,146.72,149.22,145.56,147.41,22490000,0.007
2000-08-13,147.78,150.44,147.06,149.69,2.4e+07,0.0155
2000-08-20,150.03,151.62,149.28,151.25,18290000,0.0104
2000-08-27,151.25,153.59,150.34,152.5,21100000,0.0083
2000-09-03,151.88,152.2,149.33,149.81,15580000,-0.0176
2000-09-10,149.75,151.19,146,146,23880000,-0.0254
2000-09-17,146.38,146.97,142.42,145.28,31970000,-0.0049
2000-09-24,145.94,146.33,142.12,143.62,38580000,-0.0114
